,id,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
0,1.0000174058809262e+19,14103100,1005,0,235ba823,f6ebf28e,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,69f45779,0eb711ec,1,0,8330,320,50,761,3,175,100075,23
1,1.0000182526920856e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e8d44657,ecb851b2,1,0,22676,320,50,2616,0,35,100083,51
2,1.0000554139829215e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,10fb085b,1f0bc64f,1,0,22676,320,50,2616,0,35,100083,51
3,1.00010946378098e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,422d257a,542422a7,1,0,18648,320,50,1092,3,809,100156,61
4,1.0001377041558671e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,078c6b38,1f0bc64f,1,0,23160,320,50,2667,0,47,-1,221
5,1.0001521204153352e+19,14103100,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e75922ff,68b6db2c,1,0,6563,320,50,572,2,39,-1,32
6,1.0001911056707023e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f1e8683d,d4897fef,1,0,22813,320,50,2647,2,39,100148,23
7,1.0001982898844213e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,388d9bfb,2347f47a,cef3e649,3772665a,a4a540c1,a2140f4f,1,3,23214,300,250,2675,3,939,100058,100
8,1.000200021753129e+19,14103100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,dc17d849,ac9ad752,1,0,23642,320,50,2709,3,39,-1,23
9,1.0002107385290586e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,feb189df,8a4875bd,1,0,15699,320,50,1722,0,35,-1,79
10,1.0002121728305926e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,474b7e63,3de05cb4,1,2,22254,320,50,2545,0,431,100084,221
11,1.0002246330438762e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,2d869bee,d9b5648e,0f2161f8,a99f214a,30d86c81,10063710,1,0,23866,320,50,2736,0,33,100170,246
12,1.0002274319697023e+19,14103100,1010,7,85f751fd,c4e18dd6,50e219e0,643e0f88,7801e8d9,0f2161f8,f414c848,b80ea46d,f07e20f8,4,2,21791,320,480,2513,3,1059,-1,68
13,1.0002614093820006e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,03528b27,2347f47a,8ded1f7a,df62db53,346c1c70,81892725,1,0,17016,320,50,1873,3,39,-1,23
14,1.0003085473872232e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,396df801,2347f47a,0f2161f8,a99f214a,9100054e,c6263d8a,1,0,23866,320,50,2736,0,33,100171,246
15,1.0003460544097149e+19,14103100,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2d4180b2,8a4875bd,1,0,6392,320,50,547,3,47,100084,23
16,1.0003655272218038e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e587e82f,1f0bc64f,1,0,22676,320,50,2616,0,35,-1,51
17,1.0003886426122211e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,fb7c70a3,d9b5648e,0f2161f8,c25d43cd,229598eb,cd63b0bb,1,0,23866,320,50,2736,0,33,100170,246
18,1.0003962554013592e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a6df415d,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
19,1.000402810136191e+19,14103100,1005,0,e3c09f3a,d262cf1e,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,adfe6df6,9e3836ff,1,0,23995,320,50,2748,0,35,100130,79
20,1.0004147501365764e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,01425298,1f0bc64f,1,0,22676,320,50,2616,0,35,100083,51
21,1.0004218627354024e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a2d72242,3bd9e8e7,1,0,22676,320,50,2616,0,35,-1,51
22,1.0004594809490026e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,a99f214a,9f91c894,dc70b0f9,1,0,17016,320,50,1873,3,39,100065,23
23,1.0004595231242658e+19,14103100,1012,0,8ab5bdcf,db11867b,c0dd3be3,ecad2386,7801e8d9,07d7df22,a99f214a,70c55f7e,8a4875bd,1,0,23723,320,50,2716,3,47,-1,23
24,1.000484486711088e+19,14103100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,dbc4efdd,8a4875bd,1,0,15708,320,50,1722,0,35,100083,79
25,1.000488214903887e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,c7568a45,69e7f0d7,d6e0e6ff,1,0,23684,300,50,2712,2,35,-1,23
26,1.0004964724620894e+19,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,c52a0887,ecb851b2,1,0,23160,320,50,2667,0,47,-1,221
